dt,first,second,hospitalized,confirmed
2020-03-29 17:00:00,Borough,Bronx,1729.0,6250.0
2020-03-29 17:00:00,Borough,Brooklyn,1617.0,8887.0
2020-03-29 17:00:00,Borough,Manhattan,1074.0,5582.0
2020-03-29 17:00:00,Borough,Queens,2536.0,10737.0
2020-03-29 17:00:00,Borough,Staten Island,444.0,1984.0
2020-03-29 17:00:00,Borough,Unknown,10.0,34.0
2020-03-24 17:00:00,,0 to 17,28.0,384.0
2020-03-24 17:00:00,,18 to 44,629.0,7094.0
2020-03-24 17:00:00,,45 to 64,1061.0,5194.0
2020-03-24 17:00:00,,65 to 74,550.0,1689.0
2020-03-24 17:00:00,,75 and over,615.0,1227.0
2020-03-24 17:00:00,,Unknown,0.0,9.0
2020-03-24 17:00:00,Sex,Female,1191.0,6736.0
2020-03-24 17:00:00,Sex,Male,1691.0,8838.0
2020-03-24 17:00:00,Sex,Unknown,1.0,23.0
2020-03-24 17:00:00,Borough,Bronx,600.0,2505.0
2020-03-24 17:00:00,Borough,Brooklyn,637.0,4407.0
2020-03-24 17:00:00,Borough,Manhattan,417.0,3013.0
2020-03-24 17:00:00,Borough,Queens,1037.0,4667.0
2020-03-24 17:00:00,Borough,Staten Island,189.0,999.0
2020-03-24 17:00:00,Borough,Unknown,3.0,6.0
2020-03-30 17:00:00,,0 to 17,72.0,714.0
2020-03-30 17:00:00,,18 to 44,1448.0,16028.0
2020-03-30 17:00:00,,45 to 64,2887.0,13344.0
2020-03-30 17:00:00,,65 to 74,1612.0,4496.0
2020-03-30 17:00:00,,75 and over,1722.0,3410.0
2020-03-30 17:00:00,,Unknown,0.0,95.0
2020-03-30 17:00:00,Sex,Female,3130.0,16920.0
2020-03-30 17:00:00,Sex,Male,4610.0,21120.0
2020-03-30 17:00:00,Sex,Unknown,1.0,47.0
2020-03-30 17:00:00,Borough,Bronx,1880.0,6925.0
2020-03-30 17:00:00,Borough,Brooklyn,1661.0,10171.0
2020-03-30 17:00:00,Borough,Manhattan,1075.0,6060.0
2020-03-30 17:00:00,Borough,Queens,2650.0,12756.0
2020-03-30 17:00:00,Borough,Staten Island,465.0,2140.0
2020-03-30 17:00:00,Borough,Unknown,10.0,35.0
2020-04-06 17:00:00,,0 to 17,109.0,1204.0
2020-04-06 17:00:00,,18 to 44,2324.0,26716.0
2020-04-06 17:00:00,,45 to 64,5714.0,24627.0
2020-04-06 17:00:00,,65 to 74,3435.0,8749.0
2020-04-06 17:00:00,,75 and over,3751.0,7345.0
2020-04-06 17:00:00,,Unknown,0.0,135.0
2020-04-06 17:00:00,Sex,Female,6166.0,31319.0
2020-04-06 17:00:00,Sex,Male,9163.0,37361.0
2020-04-06 17:00:00,Sex,Unknown,4.0,96.0
2020-04-06 17:00:00,Borough,Bronx,3845.0,13681.0
2020-04-06 17:00:00,Borough,Brooklyn,3697.0,18434.0
2020-04-06 17:00:00,Borough,Manhattan,1919.0,9690.0
2020-04-06 17:00:00,Borough,Queens,4999.0,23083.0
2020-04-06 17:00:00,Borough,Staten Island,864.0,3851.0
2020-04-06 17:00:00,Borough,Unknown,9.0,37.0
